 h bar =  0.492508228253105     
 Volume Error=   7.709672900091391E-002   16.5063568147161     
 TE -error=   -38561.1718750000        5928827409693.52     
 Volume Error=   7.772769095026888E-002   16.5069877766655     
 TE -error=   -39310.2558593750        5928827408944.43     
 Volume Error=   7.620428732479922E-002   16.5054643730400     
 TE -error=   -40062.6367187500        5928827408192.05     
 Volume Error=   7.770495358272456E-002   16.5069650392979     
 TE -error=   -40733.7412109375        5928827407520.95     
 Volume Error=   7.252083378261887E-002   16.5017809194978     
 TE -error=   -41402.4570312500        5928827406852.23     
 Volume Error=   7.427729542541783E-002   16.5035373811406     
 TE -error=   -42084.7861328125        5928827406169.90     
 Volume Error=   7.765379450574983E-002   16.5069138802210     
 TE -error=   -42664.3349609375        5928827405590.35     
 Volume Error=   7.231051313283388E-002   16.5015705988480     
 TE -error=   -43245.0458984375        5928827405009.64     
 Volume Error=   7.408402780129109E-002   16.5033441135165     
 TE -error=   -43751.9687500000        5928827404502.72     
 Volume Error=   7.136691237974446E-002   16.5006269980950     
 TE -error=   -44245.7529296875        5928827404008.94     
 Volume Error=   7.015614755800925E-002   16.4994162332732     
 TE -error=   -44736.5507812500        5928827403518.14     
 Volume Error=   7.763105713820551E-002   16.5068911428534     
 TE -error=   -45126.7138671875        5928827403127.98     
 Volume Error=   7.500489118683618E-002   16.5042649769020     
 TE -error=   -45579.4589843750        5928827402675.23     
 Volume Error=   8.041070032049902E-002   16.5096707860357     
 TE -error=   -45854.6572265625        5928827402400.03     
 Volume Error=   7.772200660838280E-002   16.5069820923236     
 TE -error=   -46149.7724609375        5928827402104.92     
 Volume Error=   7.322853434743593E-002   16.5024886200626     
 TE -error=   -46399.2539062500        5928827401855.44     
 Volume Error=   7.819096481398446E-002   16.5074510505292     
 TE -error=   -46590.5019531250        5928827401664.19     
 Volume Error=   7.628102594026132E-002   16.5055411116555     
 TE -error=   -46745.9765625000        5928827401508.71     
 Volume Error=   7.947562608023873E-002   16.5087357117955     
 TE -error=   -46914.8583984375        5928827401339.83     
 Volume Error=   7.384954869849025E-002   16.5031096344137     
 TE -error=   -46971.5107421875        5928827401283.18     
 Volume Error=   7.912390742603748E-002   16.5083839931413     
 TE -error=   -46983.7099609375        5928827401270.98     
 Volume Error=   7.847802407923155E-002   16.5077381097944     
 TE -error=   -46924.5117187500        5928827401330.18     
 Volume Error=   7.541984814452007E-002   16.5046799338597     
 TE -error=   -46829.7353515625        5928827401424.95     
 Volume Error=   7.650484690202575E-002   16.5057649326172     
 TE -error=   -46644.5859375000        5928827401610.10     
 Volume Error=   7.487273023798480E-002   16.5041328159532     
 TE -error=   -46329.7958984375        5928827401924.89     
 Volume Error=   7.557332537544426E-002   16.5048334110907     
 TE -error=   -45945.4091796875        5928827402309.28     
 Volume Error=   7.817106961738318E-002   16.5074311553326     
 TE -error=   -45482.1259765625        5928827402772.56     
 Volume Error=   7.578364602522925E-002   16.5050437317404     
 TE -error=   -44881.0722656250        5928827403373.62     
 Volume Error=   7.497931164834881E-002   16.5042393973636     
 TE -error=   -44228.6855468750        5928827404026.00     
 Volume Error=   7.530047696491238E-002   16.5045605626801     
 TE -error=   -43471.4394531250        5928827404783.25     
 Volume Error=   7.629807896591956E-002   16.5055581646811     
 TE -error=   -42678.4472656250        5928827405576.24     
 Volume Error=   7.632934284629300E-002   16.5055894285615     
 TE -error=   -41799.5917968750        5928827406455.10     
